Address,Latitude,Longitude
"2108 W 134th St, Los Angeles, CA 90059",33.910385,-118.255466
"18012 Osborne St, Sherwood Forest, CA 91325",34.2334339,-118.5114072
"10028 Wisner Ave, Mission Hills, CA 91345",34.25264231313132,-118.461865989899
"14632 Cohasset St, Van Nuys, CA 91405",34.20655994285715,-118.45210974285715
"5828 Irvine Ave, North Hollywood, CA 91601",34.17635428571428,-118.38544285714286
"446 Rustic Dr, Los Angeles, CA 90065",34.103362,-118.20743
"13154 Community St, Sun Valley, CA 91352",34.223161876620374,-118.41906625000017
"15541 Marilla St, North Hills, CA 91343",34.247428588235294,-118.47108835294118
"4117 Barryknoll Dr, Los Angeles, CA 90065",34.11686613513513,-118.22365305405405
"6620 Callicott Ave, West Hills, CA 91307",34.190584,-118.636465
"19911 Ahwanee Ln, Porter Ranch, CA 91326",34.28315396242081,-118.57027889795664
"2111 S Highland Ave, Los Angeles, CA 90016",34.03810540939597,-118.34759689932885
"8936 W 25th St, Los Angeles, CA 90034",34.038588448979596,-118.3864879387755
"11011 White Oak Ave, Granada Hills, CA 91344",34.27011215789474,-118.51979763157895
"22400 Bessemer St, Woodland Hills, CA 91367",34.180134,-118.614756
"6309 Morella Ave, North Hollywood, CA 91606",34.1761614,-118.3897543
"2402 Edgewater Ter, Los Angeles, CA 90039",34.100857375,-118.26019450000001
"8409 Lookout Mountain Ave, Los Angeles, CA 90046",34.11424553846154,-118.37859407692308
"18261 Sugarman St, Tarzana, CA 91356",34.15927770364223,-118.53088050087656
"743 N June St, Los Angeles, CA 90038",34.084270857142855,-118.33427042857143
"17401 Klee St, Northridge, CA 91325",34.231334,-118.513692
"10639 Blix St, Toluca Lake, CA 91602",34.1567446122449,-118.36305587755102
"5817 W 78th Pl, Westchester, CA 90045",33.968159549999996,-118.38431229423267
"4819 Escobedo Dr, Woodland Hills, CA 91364",34.15754611320397,-118.58943137507414
"4640 Dunas Ln, Tarzana, CA 91356",34.15450981842922,-118.52979719067497
