Address;Price;Beds;Baths;Sizes
2108 W 134th St, Los Angeles, CA 90059;$638,000;3;2;1,127sqft
18012 Osborne St, Sherwood Forest, CA 91325;$1,700,000;4;2;2,371sqft
1128 S Serrano Ave Apt 204, Los Angeles, CA 90006;$648,000;2;2;930sqft
10028 Wisner Ave, Mission Hills, CA 91345;$859,000;4;3;1,901sqft
14632 Cohasset St, Van Nuys, CA 91405;$795,000;4;2;1,639sqft
14930 Canyon View Ct, Sylmar, CA 91342;$849,950;4;3;1,830sqft
5828 Irvine Ave, North Hollywood, CA 91601;$974,990;3;2;1,595sqft
446 Rustic Dr, Los Angeles, CA 90065;$1,495,000;2;2;1,811sqft
13154 Community St, Sun Valley, CA 91352;$769,800;3;2;1,456sqft
15541 Marilla St, North Hills, CA 91343;$1,150,000;5;2.5;2,625sqft
4117 Barryknoll Dr, Los Angeles, CA 90065;$840,000;2;2;972sqft
6620 Callicott Ave, West Hills, CA 91307;$875,000;4;2;1,570sqft
5801 Alcove Ave, Valley Village, CA 91607;$1,499,999;4;3;2,306sqft
19911 Ahwanee Ln, Porter Ranch, CA 91326;$1,250,000;5;3;2,405sqft
2111 S Highland Ave, Los Angeles, CA 90016;$1,499,000;3;2;1,728sqft
8936 W 25th St, Los Angeles, CA 90034;$1,799,000;2;2;1,413sqft
13117 Cranston Ave, Sylmar, CA 91342;$799,950;3;2;1,264sqft
11011 White Oak Ave, Granada Hills, CA 91344;$875,000;4;3;1,933sqft
3460 S Centinela Ave Apt 407, Los Angeles, CA 90066;$848,000;2;3;1,606sqft
22400 Bessemer St, Woodland Hills, CA 91367;$1,224,000;4;2.5;2,403sqft
6309 Morella Ave, North Hollywood, CA 91606;$1,100,000;3;3;2,523sqft
2402 Edgewater Ter, Los Angeles, CA 90039;$2,549,000;4;4;3,251sqft
8409 Lookout Mountain Ave, Los Angeles, CA 90046;$2,000,000;2;2;1,669sqft
4558 Farmdale Ave, Studio City, CA 91602;$999,000;2;1;1,520sqft
18261 Sugarman St, Tarzana, CA 91356;$1,389,000;3;2;1,577sqft
743 N June St, Los Angeles, CA 90038;$2,495,000;2;3.5;2,166sqft
4615 Finley Ave Apt 6, Los Angeles, CA 90027;$848,000;2;2;1,069sqft
17401 Klee St, Northridge, CA 91325;$1,550,000;3;4;2,971sqft
10639 Blix St, Toluca Lake, CA 91602;$2,399,000;5;4.5;3,941sqft
10648 Woodbridge St Unit 109, Toluca Lake, CA 91602;$925,000;2;2.5;1,470sqft
5817 W 78th Pl, Westchester, CA 90045;$1,750,000;4;3.5;1,896sqft
4819 Escobedo Dr, Woodland Hills, CA 91364;$1,749,000;5;4.5;3,199sqft
4640 Dunas Ln, Tarzana, CA 91356;$3,100,000;5;6.5;5,031sqft
3449 Scadlock Ln, Sherman Oaks, CA 91403;$2,449,000;4;3;2,459sqft
1655 Greenfield Ave Apt 17, Westwood Century City, CA 90025;$995,000;3;2.5;1,309sqft
1023 W Kensington Rd, Los Angeles, CA 90026;$1,950,000;4;4;2,972sqft
7320 Trask Ave, Playa Del Rey, CA 90293;$3,495,000;4;3.5;3,308sqft
24136 Hillhurst Dr, West Hills, CA 91307;$1,799,000;5;4;3,082sqft
6115 Eileen Ave, Los Angeles, CA 90043;$1,100,000;3;2;1,356sqft
9274 Warbler Way, Los Angeles, CA 90069;$4,950,000;5;5.5;5,029sqft
1000 S Westgate Ave Apt 318, Los Angeles, CA 90049;$849,000;2;2;1,077sqft
Address;Price;Beds;Baths;Sizes
6045 Lindley Ave Unit 36, Tarzana, CA 91356;$699,000;3;3;1,877sqft
9143 Noble Ave, North Hills, CA 91343;$745,000;3;4;1,906sqft
3528 E 8th St, Los Angeles, CA 90023;$530,000;2;1;949sqft
12421 Arbor Pl, Los Angeles, CA 90044;$680,000;2;3;1,853sqft
10930 Marklein Ave, Mission Hills, CA 91345;$824,999;3;2;2,011sqft
14000 Boxwood Pl, Panorama City, CA 91402;$699,000;3;2;1,654sqft
416 N Bixel St, Los Angeles, CA 90026;$799,000;3;2;1,658sqft
10614 Chalon Rd, Los Angeles, CA 90077;$32,000,000;6;6.5;10,682sqft
13747 Vanowen St Apt 203, Van Nuys, CA 91405;$380,000;2;2;871sqft
12640 Classics Dr, Granada Hills, CA 91344;$1,849,000;4;3;3,686sqft
8985 Cayuga Ave, Sun Valley, CA 91352;$899,900;5;3;2,048sqft
4805 Bellflower Ave Unit 208, North Hollywood, CA 91601;$698,000;2;2;1,160sqft
8641 Glenoaks Blvd Unit 214, Sun Valley, CA 91352;$359,900;1;1;556sqft
10055 Beachy Ave, Arleta, CA 91331;$1,350,000;5;4;3,208sqft
2476 Coolidge Ave, Los Angeles, CA 90064;$1,100,000;4;2.5;1,462sqft
8326 Densmore Ave, North Hills, CA 91343;$775,000;3;2;1,222sqft
3206 W 43rd Pl, Los Angeles, CA 90008;$1,260,000;4;4;4,042sqft
16656 Tuba St, North Hills, CA 91343;$875,000;3;2;1,627sqft
8018 Hesperia Ave, Reseda, CA 91335;$675,000;4;2;1,479sqft
8463 DE Soto Ave Unit 12, Canoga Park, CA 91304;$379,900;2;2;693sqft
4250 Don Carlos Dr, Baldwin Hills, CA 90008;$1,999,000;3;3.5;2,914sqft
6177 Outlook Ave, Los Angeles, CA 90042;$1,295,000;2;2;1,323sqft
2147 N Eastern Ave, Los Angeles, CA 90032;$899,999;4;2;1,740sqft
20340 Superior St, Chatsworth, CA 91311;$750,000;3;2;1,326sqft
3840 S Cochran Ave, Baldwin Hills, CA 90008;$1,788,000;6;5;4,574sqft
6718 Whitman Ave, Lake Balboa, CA 91406;$949,900;3;2;1,864sqft
15012 Valerio St, Van Nuys, CA 91405;$829,900;3;2;1,461sqft
5176 Medina Rd, Woodland Hills, CA 91364;$2,198,000;4;4.5;3,400sqft
15851 Ludlow St, Granada Hills, CA 91344;$1,019,998;3;2;1,862sqft
10036 Sunnybrae Ave, Chatsworth, CA 91311;$1,090,000;4;2;2,172sqft
22301 Gifford St, Canoga Park, CA 91303;$850,000;3;2;1,358sqft
11003 Exposition Blvd, Los Angeles, CA 90064;$1,770,000;3;2;The squareFeet cannot be shown
6732 W Hepburn Way, Los Angeles, CA 90038;$1,695,000;3;4;2,346sqft
429 N Spaulding Ave, Los Angeles, CA 90036;$2,199,000;6;4;3,781sqft
8300 Mariposa Ct, West Hills, CA 91304;$2,290,589;4;4.5;3,279sqft
1360 Shadowbrook Ter, Harbor City, CA 90710;$810,000;3;2.5;1,903sqft
9038 Cresta Dr, Los Angeles, CA 90035;$2,595,000;3;2;2,209sqft
17423 Hatteras St, Encino, CA 91316;$1,175,000;3;2;1,415sqft
6133 Orange St, Los Angeles, CA 90048;$2,595,000;8;8;5,904sqft
3900 Beethoven St Apt 101, Los Angeles, CA 90066;$975,000;2;2;1,277sqft
18145 Rosita St, Tarzana, CA 91356;$1,199,990;3;2;1,460sqft
6064 Hazelhurst Pl Unit 1, North Hollywood, CA 91606;$717,000;3;4;1,610sqft
13280 Dronfield Ave Unit 16, Sylmar, CA 91342;$615,000;3;3;1,472sqft
1007 S Record Ave, Los Angeles, CA 90023;$435,000;2;1;572sqft
3726 Dozier St, Los Angeles, CA 90063;$675,000;4;2;1,700sqft
2328 W 2nd St, Los Angeles, CA 90057;$749,000;2;2;881sqft
14307 Roscoe Blvd Unit 206, Panorama City, CA 91402;$440,000;2;2;1,308sqft
248 N Park View St, Los Angeles, CA 90026;$895,000;3;1.5;1,540sqft
9522 Anzac Ave, Los Angeles, CA 90002;$500,000;3;1;912sqft
18631 Collins St Apt 2, Tarzana, CA 91356;$625,000;2;3;1,212sqft
5349 Newcastle Ave Apt 31, Encino, CA 91316;$489,000;2;2;941sqft
8251 S San Pedro St, Los Angeles, CA 90003;$1,050,000;10;4;4,272sqft
8449 Cozycroft Ave, Winnetka, CA 91306;$799,900;4;2;1,479sqft
12938 Valleyheart Dr Apt 3, Studio City, CA 91604;$489,900;1;1;919sqft
20642 Acre St, Winnetka, CA 91306;$789,950;4;2;1,479sqft
252 W Santa Cruz St, San Pedro, CA 90731;$700,000;2;2;966sqft
3880 Fredonia Dr Apt D, Los Angeles, CA 90068;$875,000;2;2.5;1,511sqft
10635 Foothill Blvd, Lake View Terrace, CA 91342;$1,099,999;3;2.5;1,457sqft
4354 Prospect Ave, Los Angeles, CA 90027;$1,395,000;3;2;1,560sqft
14955 Lull St, Van Nuys, CA 91405;$749,999;3;2;1,353sqft
20237 Lassen St, Chatsworth, CA 91311;$849,000;3;2;1,710sqft
23411 Halldale Ave, Harbor City, CA 90710;$869,500;4;2;1,574sqft
1355 N Sierra Bonita Ave Apt 313, West Hollywood, CA 90046;$539,999;1;1;706sqft
4930 Wiota St, Los Angeles, CA 90041;$1,699,000;3;4;3,206sqft
2008 Penmar Ave, Venice, CA 90291;$1,695,000;3;3;2,007sqft
1400 N Coronado St, Los Angeles, CA 90026;$1,499,000;3;2;1,756sqft
1025 W 54th St, Los Angeles, CA 90037;$1,100,000;4;4;1,600sqft
